100	30031	22759.6
110	40531	34792.2
120	47104	48401.1
130	60538	63772.2
140	84934	81091.2
150	93112	100544
160	117394	122317
170	142019	146595
180	161169	173564
190	216218	203411
200	238487	236321
210	258594	272479
220	313131	312072
230	375888	355286
240	382729	402306
250	476363	453318
260	488184	508508
270	553963	568062
280	639756	632166
290	722447	701005
300	793217	774766
310	822586	853634
320	905202	937795
330	1.00887e+06	1.02743e+06
340	1.14394e+06	1.12274e+06
350	1.21844e+06	1.22389e+06
360	1.42479e+06	1.33108e+06
370	1.47748e+06	1.4445e+06
380	1.52077e+06	1.56432e+06
390	1.65523e+06	1.69073e+06
400	1.88123e+06	1.82393e+06
410	1.94097e+06	1.96409e+06
420	2.10818e+06	2.1114e+06
430	2.26136e+06	2.26605e+06
440	2.43135e+06	2.42822e+06
450	2.56526e+06	2.5981e+06
460	2.70979e+06	2.77588e+06
470	3.01573e+06	2.96174e+06
480	3.13192e+06	3.15586e+06
490	3.35965e+06	3.35843e+06
500	3.60446e+06	3.56965e+06
