00001_00000_00015.ppm;69;70;7;7;63;64;1
00001_00000_00016.ppm;71;72;6;6;65;66;1
00001_00000_00017.ppm;72;74;6;6;66;67;1
00001_00000_00018.ppm;74;74;6;6;68;68;1
00001_00000_00019.ppm;79;80;7;8;72;73;1
00001_00000_00020.ppm;81;81;8;8;74;74;1
00001_00000_00021.ppm;82;82;7;7;75;75;1
00001_00000_00022.ppm;85;86;7;7;78;78;1
00001_00000_00023.ppm;89;88;8;7;82;81;1
00001_00000_00024.ppm;93;94;8;9;84;85;1
00001_00000_00025.ppm;97;96;9;8;88;88;1
00001_00001_00015.ppm;42;43;5;6;37;38;1
00001_00001_00016.ppm;44;45;5;6;38;39;1
00001_00001_00017.ppm;44;46;5;6;39;40;1
00001_00001_00018.ppm;46;46;6;6;41;41;1
00001_00001_00019.ppm;48;46;6;5;42;41;1
00001_00001_00020.ppm;48;48;5;5;43;43;1
00001_00001_00021.ppm;51;50;6;5;46;45;1
00001_00001_00022.ppm;53;53;6;6;48;48;1
00001_00001_00023.ppm;55;54;6;6;49;49;1
00001_00001_00024.ppm;57;55;6;5;52;49;1
00001_00001_00025.ppm;59;57;6;6;54;52;1
00001_00002_00015.ppm;52;55;6;5;47;50;1
00001_00002_00016.ppm;53;55;6;5;47;49;1
00001_00002_00017.ppm;54;56;6;6;48;50;1
00001_00002_00018.ppm;56;57;6;6;50;52;1
00001_00002_00019.ppm;57;56;6;5;52;51;1
00001_00002_00020.ppm;57;57;6;6;52;52;1
00001_00002_00021.ppm;58;58;6;6;53;53;1
00001_00002_00022.ppm;60;59;5;5;54;54;1
00001_00002_00023.ppm;62;63;5;6;57;58;1
00001_00002_00024.ppm;63;64;5;6;58;59;1
00001_00002_00025.ppm;63;64;5;6;58;59;1
00001_00003_00015.ppm;41;41;6;6;36;36;1
00001_00003_00016.ppm;42;43;5;6;37;38;1
00001_00003_00017.ppm;46;45;5;5;40;40;1
00001_00003_00018.ppm;50;49;6;5;45;44;1
00001_00003_00019.ppm;54;53;6;5;49;48;1
00001_00003_00020.ppm;54;56;5;6;48;50;1
00001_00003_00021.ppm;58;59;6;6;52;53;1
00001_00003_00022.ppm;63;64;6;6;58;59;1
00001_00003_00023.ppm;70;72;6;7;64;66;1
00001_00003_00024.ppm;76;79;6;7;70;72;1
00001_00003_00025.ppm;86;86;8;7;79;79;1
00001_00004_00015.ppm;33;32;6;5;28;27;1
00001_00004_00016.ppm;32;32;6;5;27;27;1
00001_00004_00017.ppm;34;35;6;6;29;30;1
00001_00004_00018.ppm;34;36;5;6;29;31;1
00001_00004_00019.ppm;36;37;6;6;31;32;1
00001_00004_00020.ppm;37;38;5;6;32;33;1
00001_00004_00021.ppm;39;39;5;5;34;34;1
00001_00004_00022.ppm;41;41;6;6;36;36;1
00001_00004_00023.ppm;44;43;6;5;39;38;1
00001_00004_00024.ppm;47;46;6;5;42;41;1
00001_00004_00025.ppm;48;48;6;6;43;43;1
